term	AlphaIndex	estimate	std.error	statistic	p.value
(Intercept)	dbp_dominance	0.18800468526701952	0.031220809545275063	6.021774835607107	3.695566727774299e-7
(Intercept)	observed_richness	220.5599787203177	26.5958619573312	8.29301863102504	2.1898974363772484e-10
(Intercept)	shannon_diversity	3.7046265728489045	0.16726385678344927	22.14839860858378	8.696971712239481e-25
(Intercept)	gini	0.916976109934535	0.01822139294172025	50.32414990815543	3.5871697063955884e-39
cohortFp7	dbp_dominance	0.009717520739191837	0.011183741237084646	0.8688971367621681	0.38984173873433214
cohortFp7	observed_richness	11.85210527070184	9.527018755765424	1.2440518460750751	0.22037895810422603
cohortFp7	shannon_diversity	0.04619300160764672	0.05991630966103449	0.7709587234089539	0.44504706365046265
cohortFp7	gini	-0.004250911721689047	0.00652716398477503	-0.6512647348227397	0.5184233331246881
genotypeThy1-ASO	dbp_dominance	-0.02428803060162552	0.012080505221599681	-2.0105144740303613	0.05082645243349833
genotypeThy1-ASO	observed_richness	-7.539869237606817	10.2909390860785	-0.7326706702410367	0.4678287736562535
genotypeThy1-ASO	shannon_diversity	-0.1411946598941007	0.06472067587892388	-2.181600516011922	0.034786340159747214
genotypeThy1-ASO	gini	0.017065866452564644	0.007050542115445704	2.420504150337355	0.01990243475533859
number_reads	dbp_dominance	5.40868187209034e-10	3.195154094430613e-10	1.6927765335381064	0.09790442034474627
number_reads	observed_richness	5.567652273814455e-7	2.721834522088446e-7	2.0455513473105746	0.04709724259224323
number_reads	shannon_diversity	2.150492763932816e-9	1.7117871209485486e-9	1.256285163975979	0.21595566758379217
number_reads	gini	-3.9328671905364216e-10	1.8647869517777297e-10	-2.10901689696357	0.04094645011005873
treatmentF. prausnitzii	dbp_dominance	-0.006915128999177117	0.01480708706104579	-0.4670148132895977	0.6429030539207848
treatmentF. prausnitzii	observed_richness	-18.0552323115865	12.61361409910517	-1.4314083314842625	0.15971286446077163
treatmentF. prausnitzii	shannon_diversity	0.06242255391330946	0.0793281957012434	0.7868898739156757	0.43576422992112884
treatmentF. prausnitzii	gini	0.0011988417605070273	0.008641856364112419	0.13872502735471665	0.8903304739004113
treatmentbenCom	dbp_dominance	0.006657124647142691	0.014888335293591074	0.44713693746596095	0.6570736617199154
treatmentbenCom	observed_richness	-0.8522650657656107	12.682826486885117	-0.06719835414029429	0.9467426766035252
treatmentbenCom	shannon_diversity	0.11187099263715564	0.07976347886430984	1.402534019704252	0.16810462192719286
treatmentbenCom	gini	-0.008701889995762067	0.00868927524890722	-1.0014517605316318	0.3223435059669465
